text,category,template_id
A stop sign near Maple Avenue was knocked down this past hour and hasn't been replaced.,Traffic & Roads,Traffic & Roads::6
The crosswalk markings on Cedar Street have faded and are barely visible over the weekend.,Traffic & Roads,Traffic & Roads::7
Residents on 5th Avenue report the tap water smells strange since Monday.,Water & Utilities,Water & Utilities::14
"The road on Main St is badly flooded for two weeks now, it's not passable.",Traffic & Roads,Traffic & Roads::3
The streetlights on Highfield Ave have been out every evening this week.,Water & Utilities,Water & Utilities::4
Loud generator noise from a property on Highfield Ave has continued this morning.,Noise Complaints,Noise Complaints::6
"There's an abandoned building on Station Road with a broken fence, unsafe since Monday.",Public Safety,Public Safety::1
The compost bins provided on Union Street are broken and leaking this past hour.,Sanitation & Waste,Sanitation & Waste::13
The pedestrian crossing button on Maple Avenue isn't working this past hour.,Traffic & Roads,Traffic & Roads::14
Overgrown grass and weeds at the park near Union Street need to be cut over the weekend.,Parks & Public Spaces,Parks & Public Spaces::3
Broken glass has been scattered on the pavement of Station Road this past hour.,Public Safety,Public Safety::12
Low water pressure has been reported on Park Road for two weeks now.,Water & Utilities,Water & Utilities::2
A bench in the park on Cedar Street is damaged and unsafe to sit on over the weekend.,Parks & Public Spaces,Parks & Public Spaces::4
A house party on 5th Avenue yesterday afternoon has loud music going well past midnight.,Noise Complaints,Noise Complaints::13
"An open manhole cover on Union Street has been left uncovered for the past three days, it's a serious hazard.",Water & Utilities,Water & Utilities::15
"The one-way sign on Market Street is bent and hard to read for two weeks now, causing wrong-way driving.",Traffic & Roads,Traffic & Roads::17
The basketball court near Maple Avenue has large cracks in the surface every evening this week.,Parks & Public Spaces,Parks & Public Spaces::8
The crosswalk markings on 5th Avenue have faded and are barely visible over the weekend.,Traffic & Roads,Traffic & Roads::7
"An unsecured construction site on Maple Avenue has been left open last night, kids could wander in.",Public Safety,Public Safety::10
"A neighbor on Church Road has been playing loud music for the past three days, disturbing the whole block.",Noise Complaints,Noise Complaints::1
The power keeps flickering on and off on Riverside Drive last night.,Water & Utilities,Water & Utilities::8
"There's an abandoned building on Riverside Drive with a broken fence, unsafe yesterday afternoon.",Public Safety,Public Safety::1
There's no working smoke detector reported in the shared stairwell on Union Street over the weekend.,Public Safety,Public Safety::14
Park signage near Lakeview Drive listing opening hours is faded and unreadable last night.,Parks & Public Spaces,Parks & Public Spaces::14
A bar on Cedar Street has had excessively loud events this past hour.,Noise Complaints,Noise Complaints::3
"Loud construction work on Main St has been going on every evening this week, well outside permitted hours.",Noise Complaints,Noise Complaints::0
"An open manhole cover on 5th Avenue has been left uncovered yesterday afternoon, it's a serious hazard.",Water & Utilities,Water & Utilities::15
The recycling bins on Hillcrest Road haven't been emptied this morning.,Sanitation & Waste,Sanitation & Waste::2
Water discoloration from the tap has been reported by residents on Lakeview Drive since Monday.,Water & Utilities,Water & Utilities::6
"We've had no electricity on Riverside Drive every evening this week, please send a crew.",Water & Utilities,Water & Utilities::1
The swings at the playground on Main St are rusted and need replacing yesterday afternoon.,Parks & Public Spaces,Parks & Public Spaces::11
Park signage near Main St listing opening hours is faded and unreadable this morning.,Parks & Public Spaces,Parks & Public Spaces::14
A dead animal has been left uncollected on Station Road since Monday.,Sanitation & Waste,Sanitation & Waste::5
Residents on 5th Avenue report the tap water smells strange yesterday afternoon.,Water & Utilities,Water & Utilities::14
Continuous drilling noise from Station Road this morning has been reported by several residents.,Noise Complaints,Noise Complaints::12
A restaurant's outdoor speakers on Oak Lane are far too loud yesterday afternoon.,Noise Complaints,Noise Complaints::11
A broken guardrail on the bridge near Riverside Drive needs urgent road repair for two weeks now.,Traffic & Roads,Traffic & Roads::15
Loose electrical wiring has been spotted hanging near Union Street for the past three days.,Public Safety,Public Safety::6
Late-night parties on Elm Street yesterday afternoon are keeping residents awake.,Noise Complaints,Noise Complaints::5
"A security camera on Park Road has been broken over the weekend, it's a blind spot now.",Public Safety,Public Safety::8
"The one-way sign on Main St is bent and hard to read last night, causing wrong-way driving.",Traffic & Roads,Traffic & Roads::17
A burst pipe on Cedar Street is spraying water onto the road every evening this week.,Water & Utilities,Water & Utilities::7
There's constant dog barking from a property on Market Street yesterday afternoon.,Noise Complaints,Noise Complaints::2
Fallen tree branches are blocking a path in the park on Hillcrest Road every evening this week.,Parks & Public Spaces,Parks & Public Spaces::7
There's a water main leak on Hillcrest Road that's been flooding the street every evening this week.,Water & Utilities,Water & Utilities::0
Fallen tree branches are blocking a path in the park on Elm Street for the past three days.,Parks & Public Spaces,Parks & Public Spaces::7
"Loud construction work on Oak Lane has been going on last night, well outside permitted hours.",Noise Complaints,Noise Complaints::0
There's a water main leak on Park Road that's been flooding the street for the past three days.,Water & Utilities,Water & Utilities::0
Litter bins in the park on Cedar Street are missing or broken for two weeks now.,Parks & Public Spaces,Parks & Public Spaces::10
"Loud construction work on Church Road has been going on yesterday afternoon, well outside permitted hours.",Noise Complaints,Noise Complaints::0
A burst pipe on Union Street is spraying water onto the road over the weekend.,Water & Utilities,Water & Utilities::7
A bar on Elm Street has had excessively loud events this past hour.,Noise Complaints,Noise Complaints::3
The emergency call box on 5th Avenue appears to be non-functional every evening this week.,Public Safety,Public Safety::13
The basketball court near Station Road has large cracks in the surface this past hour.,Parks & Public Spaces,Parks & Public Spaces::8
"There have been reports of break-ins near Park Road for the past three days, residents want more patrols.",Public Safety,Public Safety::9
"A neighbor's renovation work on Church Road started very early for two weeks now, before permitted hours.",Noise Complaints,Noise Complaints::8
"We've had no electricity on Elm Street yesterday afternoon, please send a crew.",Water & Utilities,Water & Utilities::1
The gas meter box on Market Street appears damaged every evening this week.,Water & Utilities,Water & Utilities::13
A restaurant's outdoor speakers on Market Street are far too loud for the past three days.,Noise Complaints,Noise Complaints::11
The public restrooms at the park on Highfield Ave have been out of service every evening this week.,Parks & Public Spaces,Parks & Public Spaces::2
Continuous drilling noise from Elm Street this past hour has been reported by several residents.,Noise Complaints,Noise Complaints::12
"We've had no electricity on Maple Avenue for two weeks now, please send a crew.",Water & Utilities,Water & Utilities::1
"Suspicious activity has been reported near 5th Avenue last night, requesting a patrol.",Public Safety,Public Safety::2
A dangerously leaning tree on Main St looks like it could fall for the past three days.,Public Safety,Public Safety::11
Motorbikes revving their engines on Market Street every evening this week are extremely disruptive.,Noise Complaints,Noise Complaints::7
Water discoloration from the tap has been reported by residents on Highfield Ave over the weekend.,Water & Utilities,Water & Utilities::6
The recycling bins on Cedar Street haven't been emptied over the weekend.,Sanitation & Waste,Sanitation & Waste::2
A dead animal has been left uncollected on Lakeview Drive every evening this week.,Sanitation & Waste,Sanitation & Waste::5
Roadworks on Park Road have left an unmarked hole in the pavement for the past three days.,Traffic & Roads,Traffic & Roads::16
"The street sweeper hasn't come through Highfield Ave this past hour, leaves and debris are piling up.",Sanitation & Waste,Sanitation & Waste::15
Overgrown grass and weeds at the park near Park Road need to be cut this past hour.,Parks & Public Spaces,Parks & Public Spaces::3
"The one-way sign on Hillcrest Road is bent and hard to read for the past three days, causing wrong-way driving.",Traffic & Roads,Traffic & Roads::17
A dangerously leaning tree on Riverside Drive looks like it could fall this morning.,Public Safety,Public Safety::11
A house party on Union Street this morning has loud music going well past midnight.,Noise Complaints,Noise Complaints::13
"An unsecured construction site on Church Road has been left open this past hour, kids could wander in.",Public Safety,Public Safety::10
"The one-way sign on Oak Lane is bent and hard to read every evening this week, causing wrong-way driving.",Traffic & Roads,Traffic & Roads::17
The compost bins provided on Highfield Ave are broken and leaking this past hour.,Sanitation & Waste,Sanitation & Waste::13
"The one-way sign on Main St is bent and hard to read over the weekend, causing wrong-way driving.",Traffic & Roads,Traffic & Roads::17
The swings at the playground on Lakeview Drive are rusted and need replacing yesterday afternoon.,Parks & Public Spaces,Parks & Public Spaces::11
The crosswalk markings on Park Road have faded and are barely visible yesterday afternoon.,Traffic & Roads,Traffic & Roads::7
A bench in the park on Cedar Street is damaged and unsafe to sit on this morning.,Parks & Public Spaces,Parks & Public Spaces::4
"Suspicious activity has been reported near Oak Lane every evening this week, requesting a patrol.",Public Safety,Public Safety::2
"Someone has been loitering near the school on Station Road every evening this week, parents are concerned.",Public Safety,Public Safety::7
Low water pressure has been reported on Station Road every evening this week.,Water & Utilities,Water & Utilities::2
"The garbage truck skipped our block on Station Road yesterday afternoon, can someone come by?",Sanitation & Waste,Sanitation & Waste::9
Loudspeakers from an event on Cedar Street can be heard blocks away this morning.,Noise Complaints,Noise Complaints::9
The water on Lakeview Drive has been shut off every evening this week without any prior notice.,Water & Utilities,Water & Utilities::11
A bench in the park on Union Street is damaged and unsafe to sit on this morning.,Parks & Public Spaces,Parks & Public Spaces::4
Loose electrical wiring has been spotted hanging near Maple Avenue over the weekend.,Public Safety,Public Safety::6
The public trash cans on Park Road are overflowing last night and attracting pests.,Sanitation & Waste,Sanitation & Waste::6
"An open manhole cover on Main St has been left uncovered this past hour, it's a serious hazard.",Water & Utilities,Water & Utilities::15
There's a huge traffic jam on Oak Lane yesterday afternoon because of a broken-down vehicle.,Traffic & Roads,Traffic & Roads::13
There's a water main leak on 5th Avenue that's been flooding the street since Monday.,Water & Utilities,Water & Utilities::0
A sewage smell is coming from a manhole on Station Road over the weekend.,Water & Utilities,Water & Utilities::3
"Someone burned trash illegally near Church Road this morning, leaving ash everywhere.",Sanitation & Waste,Sanitation & Waste::14
An unleashed aggressive dog has been reported at the park on Maple Avenue this morning.,Parks & Public Spaces,Parks & Public Spaces::12
A dead animal has been left uncollected on Park Road this morning.,Sanitation & Waste,Sanitation & Waste::5
Flies are swarming around a garbage pile on Station Road this morning.,Sanitation & Waste,Sanitation & Waste::12
Household waste has been dumped on the sidewalk of Market Street yesterday afternoon.,Sanitation & Waste,Sanitation & Waste::7
An unleashed aggressive dog has been reported at the park on Highfield Ave over the weekend.,Parks & Public Spaces,Parks & Public Spaces::12
Yard waste hasn't been picked up on Church Road this past hour despite being scheduled.,Sanitation & Waste,Sanitation & Waste::11
Household waste has been dumped on the sidewalk of Maple Avenue last night.,Sanitation & Waste,Sanitation & Waste::7
Cars are parking illegally on Riverside Drive and blocking the bike lane over the weekend.,Traffic & Roads,Traffic & Roads::2
The traffic light at the corner of Riverside Drive has been stuck on red this morning.,Traffic & Roads,Traffic & Roads::1
There's a bad smell coming from an uncollected dumpster on Hillcrest Road this morning.,Sanitation & Waste,Sanitation & Waste::3
Broken glass has been found near the playground on Park Road this morning.,Parks & Public Spaces,Parks & Public Spaces::5
"There have been reports of break-ins near Highfield Ave for two weeks now, residents want more patrols.",Public Safety,Public Safety::9
Flies are swarming around a garbage pile on Maple Avenue this morning.,Sanitation & Waste,Sanitation & Waste::12
The crosswalk markings on Church Road have faded and are barely visible last night.,Traffic & Roads,Traffic & Roads::7
A pothole the size of a dinner plate has appeared on 5th Avenue this past hour.,Traffic & Roads,Traffic & Roads::10
A house party on 5th Avenue this past hour has loud music going well past midnight.,Noise Complaints,Noise Complaints::13
There's a huge traffic jam on Riverside Drive last night because of a broken-down vehicle.,Traffic & Roads,Traffic & Roads::13
"There have been reports of break-ins near Main St since Monday, residents want more patrols.",Public Safety,Public Safety::9
The power keeps flickering on and off on Maple Avenue yesterday afternoon.,Water & Utilities,Water & Utilities::8
There's constant dog barking from a property on Church Road every evening this week.,Noise Complaints,Noise Complaints::2
"The street sweeper hasn't come through Station Road every evening this week, leaves and debris are piling up.",Sanitation & Waste,Sanitation & Waste::15
A restaurant's outdoor speakers on Station Road are far too loud since Monday.,Noise Complaints,Noise Complaints::11
"A fallen power line is dangling near Lakeview Drive for two weeks now, it looks dangerous.",Water & Utilities,Water & Utilities::10
A stop sign near Riverside Drive was knocked down this past hour and hasn't been replaced.,Traffic & Roads,Traffic & Roads::6
"Please fix the sinkhole that opened up on Riverside Drive for the past three days, cars are swerving around it.",Traffic & Roads,Traffic & Roads::19
Broken glass has been found near the playground on 5th Avenue for two weeks now.,Parks & Public Spaces,Parks & Public Spaces::5
"We've had no electricity on Market Street this past hour, please send a crew.",Water & Utilities,Water & Utilities::1
"There's been a total blackout on Market Street for two weeks now, residents are asking when it'll be fixed.",Water & Utilities,Water & Utilities::9
Recyclables are being mixed with regular trash by collectors on Hillcrest Road yesterday afternoon.,Sanitation & Waste,Sanitation & Waste::17
The traffic light at the corner of Oak Lane has been stuck on red for two weeks now.,Traffic & Roads,Traffic & Roads::1
Car alarms keep going off on 5th Avenue for two weeks now without anyone responding.,Noise Complaints,Noise Complaints::4
The swings at the playground on 5th Avenue are rusted and need replacing this past hour.,Parks & Public Spaces,Parks & Public Spaces::11
The water on Cedar Street has been shut off this past hour without any prior notice.,Water & Utilities,Water & Utilities::11
"Fireworks have been set off repeatedly near Hillcrest Road this morning, disturbing residents.",Noise Complaints,Noise Complaints::10
A stop sign near Cedar Street was knocked down every evening this week and hasn't been replaced.,Traffic & Roads,Traffic & Roads::6
"Drivers are running the red light on Church Road for two weeks now, it's an accident waiting to happen.",Traffic & Roads,Traffic & Roads::11
"Traffic congestion on Market Street has gotten much worse for two weeks now, please review the signal timing.",Traffic & Roads,Traffic & Roads::5
The community garden near Church Road has been vandalized yesterday afternoon.,Parks & Public Spaces,Parks & Public Spaces::13
Residents on Oak Lane report the tap water smells strange every evening this week.,Water & Utilities,Water & Utilities::14
"Loud construction work on Park Road has been going on since Monday, well outside permitted hours.",Noise Complaints,Noise Complaints::0
"A neighbor's renovation work on Cedar Street started very early for the past three days, before permitted hours.",Noise Complaints,Noise Complaints::8
There's a large pothole on Station Road that's been damaging cars last night.,Traffic & Roads,Traffic & Roads::0
The emergency call box on Oak Lane appears to be non-functional since Monday.,Public Safety,Public Safety::13
The power keeps flickering on and off on Hillcrest Road since Monday.,Water & Utilities,Water & Utilities::8
"Speeding cars on Maple Avenue are a serious hazard this past hour, we need a speed bump.",Traffic & Roads,Traffic & Roads::8
"A fallen power line is dangling near Maple Avenue since Monday, it looks dangerous.",Water & Utilities,Water & Utilities::10
"There's a gas smell near Riverside Drive for the past three days, this may need urgent attention.",Water & Utilities,Water & Utilities::5
"A streetlamp on Elm Street has been flickering and going dark for the past three days, it feels unsafe at night.",Public Safety,Public Safety::0
Rats have been spotted near the uncollected trash on Church Road yesterday afternoon.,Sanitation & Waste,Sanitation & Waste::8
Water discoloration from the tap has been reported by residents on Market Street since Monday.,Water & Utilities,Water & Utilities::6
The crosswalk markings on Hillcrest Road have faded and are barely visible yesterday afternoon.,Traffic & Roads,Traffic & Roads::7
There's constant dog barking from a property on Cedar Street over the weekend.,Noise Complaints,Noise Complaints::2
A sewage smell is coming from a manhole on Highfield Ave yesterday afternoon.,Water & Utilities,Water & Utilities::3
Broken glass has been found near the playground on Cedar Street for two weeks now.,Parks & Public Spaces,Parks & Public Spaces::5
Overgrown grass and weeds at the park near Main St need to be cut this past hour.,Parks & Public Spaces,Parks & Public Spaces::3
"Park lighting near Hillcrest Road has stopped working this morning, it's dark and unsafe in the evenings.",Parks & Public Spaces,Parks & Public Spaces::9
A burst pipe on Elm Street is spraying water onto the road for the past three days.,Water & Utilities,Water & Utilities::7
"Suspicious activity has been reported near Park Road yesterday afternoon, requesting a patrol.",Public Safety,Public Safety::2
"The sidewalk on Main St is cracked and uneven yesterday afternoon, a real trip hazard.",Public Safety,Public Safety::4
The public water fountain in the park near Elm Street isn't working for the past three days.,Parks & Public Spaces,Parks & Public Spaces::6
A restaurant's outdoor speakers on Station Road are far too loud for two weeks now.,Noise Complaints,Noise Complaints::11
The basketball court near Station Road has large cracks in the surface for the past three days.,Parks & Public Spaces,Parks & Public Spaces::8
A burst pipe on Station Road is spraying water onto the road for the past three days.,Water & Utilities,Water & Utilities::7
"An unsecured construction site on Hillcrest Road has been left open yesterday afternoon, kids could wander in.",Public Safety,Public Safety::10
"An open manhole cover on Park Road has been left uncovered this morning, it's a serious hazard.",Water & Utilities,Water & Utilities::15
A burst pipe on Oak Lane is spraying water onto the road since Monday.,Water & Utilities,Water & Utilities::7
"A fire hydrant on Riverside Drive is leaking continuously for two weeks now, wasting a lot of water.",Water & Utilities,Water & Utilities::12
"The garbage truck skipped our block on Lakeview Drive this morning, can someone come by?",Sanitation & Waste,Sanitation & Waste::9
Car alarms keep going off on Highfield Ave this morning without anyone responding.,Noise Complaints,Noise Complaints::4
The swings at the playground on 5th Avenue are rusted and need replacing over the weekend.,Parks & Public Spaces,Parks & Public Spaces::11
A stop sign near Market Street was knocked down this past hour and hasn't been replaced.,Traffic & Roads,Traffic & Roads::6
The public trash cans on Union Street are overflowing for two weeks now and attracting pests.,Sanitation & Waste,Sanitation & Waste::6
The public trash cans on Church Road are overflowing over the weekend and attracting pests.,Sanitation & Waste,Sanitation & Waste::6
Low water pressure has been reported on Riverside Drive last night.,Water & Utilities,Water & Utilities::2
"Street signage near Riverside Drive is missing, causing confusion for drivers every evening this week.",Traffic & Roads,Traffic & Roads::4
The recycling bins on Park Road haven't been emptied yesterday afternoon.,Sanitation & Waste,Sanitation & Waste::2
Water discoloration from the tap has been reported by residents on Church Road yesterday afternoon.,Water & Utilities,Water & Utilities::6
"A fire hydrant on Elm Street is leaking continuously yesterday afternoon, wasting a lot of water.",Water & Utilities,Water & Utilities::12
Low water pressure has been reported on Union Street over the weekend.,Water & Utilities,Water & Utilities::2
"Loud construction work on Main St has been going on for the past three days, well outside permitted hours.",Noise Complaints,Noise Complaints::0
Car alarms keep going off on Union Street last night without anyone responding.,Noise Complaints,Noise Complaints::4
The power keeps flickering on and off on Union Street for the past three days.,Water & Utilities,Water & Utilities::8
"The road on Cedar Street is badly flooded this past hour, it's not passable.",Traffic & Roads,Traffic & Roads::3
A sewage smell is coming from a manhole on Main St since Monday.,Water & Utilities,Water & Utilities::3
"The sidewalk on Oak Lane is cracked and uneven this morning, a real trip hazard.",Public Safety,Public Safety::4
"There's an abandoned building on Station Road with a broken fence, unsafe for two weeks now.",Public Safety,Public Safety::1
There's constant dog barking from a property on Park Road for the past three days.,Noise Complaints,Noise Complaints::2
Flies are swarming around a garbage pile on Cedar Street this past hour.,Sanitation & Waste,Sanitation & Waste::12
Fallen tree branches are blocking a path in the park on 5th Avenue since Monday.,Parks & Public Spaces,Parks & Public Spaces::7
The public water fountain in the park near Market Street isn't working this past hour.,Parks & Public Spaces,Parks & Public Spaces::6
The basketball court near Market Street has large cracks in the surface this morning.,Parks & Public Spaces,Parks & Public Spaces::8
Residents on Park Road report the tap water smells strange this morning.,Water & Utilities,Water & Utilities::14
Fallen tree branches are blocking a path in the park on Oak Lane this past hour.,Parks & Public Spaces,Parks & Public Spaces::7
The playground equipment at the park on 5th Avenue is broken for two weeks now.,Parks & Public Spaces,Parks & Public Spaces::0
There's no working smoke detector reported in the shared stairwell on Hillcrest Road yesterday afternoon.,Public Safety,Public Safety::14
A burst pipe on Lakeview Drive is spraying water onto the road over the weekend.,Water & Utilities,Water & Utilities::7
Broken glass has been scattered on the pavement of Lakeview Drive this morning.,Public Safety,Public Safety::12
There's constant dog barking from a property on Maple Avenue yesterday afternoon.,Noise Complaints,Noise Complaints::2
Yard waste hasn't been picked up on Park Road for two weeks now despite being scheduled.,Sanitation & Waste,Sanitation & Waste::11
"There's a gas smell near 5th Avenue this morning, this may need urgent attention.",Water & Utilities,Water & Utilities::5
A stop sign near Highfield Ave was knocked down for the past three days and hasn't been replaced.,Traffic & Roads,Traffic & Roads::6
There's a large pothole on Oak Lane that's been damaging cars over the weekend.,Traffic & Roads,Traffic & Roads::0
"There's been a total blackout on Cedar Street for two weeks now, residents are asking when it'll be fixed.",Water & Utilities,Water & Utilities::9
The playground equipment at the park on Market Street is broken over the weekend.,Parks & Public Spaces,Parks & Public Spaces::0
"A neighbor's renovation work on Highfield Ave started very early last night, before permitted hours.",Noise Complaints,Noise Complaints::8
Litter bins in the park on Hillcrest Road are missing or broken every evening this week.,Parks & Public Spaces,Parks & Public Spaces::10
Motorbikes revving their engines on Riverside Drive for two weeks now are extremely disruptive.,Noise Complaints,Noise Complaints::7
Loud generator noise from a property on Highfield Ave has continued yesterday afternoon.,Noise Complaints,Noise Complaints::6
Fallen tree branches are blocking a path in the park on Cedar Street this past hour.,Parks & Public Spaces,Parks & Public Spaces::7
"Speeding cars on Main St are a serious hazard this morning, we need a speed bump.",Traffic & Roads,Traffic & Roads::8
Broken glass has been found near the playground on Station Road over the weekend.,Parks & Public Spaces,Parks & Public Spaces::5
Rats have been spotted near the uncollected trash on Main St for two weeks now.,Sanitation & Waste,Sanitation & Waste::8
"An unsecured construction site on Cedar Street has been left open this morning, kids could wander in.",Public Safety,Public Safety::10
"Drivers are running the red light on Hillcrest Road for the past three days, it's an accident waiting to happen.",Traffic & Roads,Traffic & Roads::11
"There's an abandoned building on Church Road with a broken fence, unsafe this morning.",Public Safety,Public Safety::1
A restaurant's outdoor speakers on Market Street are far too loud yesterday afternoon.,Noise Complaints,Noise Complaints::11
A fire hydrant on Highfield Ave appears damaged for two weeks now and may not work in an emergency.,Public Safety,Public Safety::3
"There's a gas smell near Park Road this past hour, this may need urgent attention.",Water & Utilities,Water & Utilities::5
Loose electrical wiring has been spotted hanging near Church Road yesterday afternoon.,Public Safety,Public Safety::6
The recycling bins on Oak Lane haven't been emptied for the past three days.,Sanitation & Waste,Sanitation & Waste::2
An unleashed aggressive dog has been reported at the park on Cedar Street since Monday.,Parks & Public Spaces,Parks & Public Spaces::12
Litter bins in the park on Highfield Ave are missing or broken every evening this week.,Parks & Public Spaces,Parks & Public Spaces::10
"A neighbor on Park Road has been playing loud music yesterday afternoon, disturbing the whole block.",Noise Complaints,Noise Complaints::1
A dangerously leaning tree on 5th Avenue looks like it could fall every evening this week.,Public Safety,Public Safety::11
"The sidewalk on Union Street is cracked and uneven every evening this week, a real trip hazard.",Public Safety,Public Safety::4
The crosswalk markings on Main St have faded and are barely visible since Monday.,Traffic & Roads,Traffic & Roads::7
Household waste has been dumped on the sidewalk of Union Street every evening this week.,Sanitation & Waste,Sanitation & Waste::7
"There have been reports of break-ins near Church Road for two weeks now, residents want more patrols.",Public Safety,Public Safety::9
A restaurant's outdoor speakers on Union Street are far too loud over the weekend.,Noise Complaints,Noise Complaints::11
Residents on Highfield Ave report the tap water smells strange since Monday.,Water & Utilities,Water & Utilities::14
The compost bins provided on Station Road are broken and leaking this past hour.,Sanitation & Waste,Sanitation & Waste::13
The community garden near Riverside Drive has been vandalized since Monday.,Parks & Public Spaces,Parks & Public Spaces::13
Car alarms keep going off on Cedar Street every evening this week without anyone responding.,Noise Complaints,Noise Complaints::4
Residents on Union Street report the tap water smells strange every evening this week.,Water & Utilities,Water & Utilities::14
"The garbage truck skipped our block on Highfield Ave for the past three days, can someone come by?",Sanitation & Waste,Sanitation & Waste::9
The streetlights on Main St have been out over the weekend.,Water & Utilities,Water & Utilities::4
The gas meter box on 5th Avenue appears damaged this past hour.,Water & Utilities,Water & Utilities::13
There's no working smoke detector reported in the shared stairwell on Church Road for two weeks now.,Public Safety,Public Safety::14
The public restrooms at the park on Maple Avenue have been out of service every evening this week.,Parks & Public Spaces,Parks & Public Spaces::2
There's a huge traffic jam on Oak Lane every evening this week because of a broken-down vehicle.,Traffic & Roads,Traffic & Roads::13
The swings at the playground on Elm Street are rusted and need replacing last night.,Parks & Public Spaces,Parks & Public Spaces::11
"The garbage truck skipped our block on Highfield Ave over the weekend, can someone come by?",Sanitation & Waste,Sanitation & Waste::9
Litter bins in the park on Lakeview Drive are missing or broken since Monday.,Parks & Public Spaces,Parks & Public Spaces::10
The road markings/lane lines on Cedar Street have completely worn away over the weekend.,Traffic & Roads,Traffic & Roads::12
Roadworks on Station Road have left an unmarked hole in the pavement every evening this week.,Traffic & Roads,Traffic & Roads::16
A guard rail near Hillcrest Road is broken yesterday afternoon and needs urgent repair.,Public Safety,Public Safety::5
The public restrooms at the park on Highfield Ave have been out of service for two weeks now.,Parks & Public Spaces,Parks & Public Spaces::2
"Speeding cars on Oak Lane are a serious hazard yesterday afternoon, we need a speed bump.",Traffic & Roads,Traffic & Roads::8
There's a bad smell coming from an uncollected dumpster on Church Road since Monday.,Sanitation & Waste,Sanitation & Waste::3
"Traffic congestion on Station Road has gotten much worse for two weeks now, please review the signal timing.",Traffic & Roads,Traffic & Roads::5
The playground equipment at the park on Maple Avenue is broken last night.,Parks & Public Spaces,Parks & Public Spaces::0
"Someone burned trash illegally near Oak Lane yesterday afternoon, leaving ash everywhere.",Sanitation & Waste,Sanitation & Waste::14
Recyclables are being mixed with regular trash by collectors on 5th Avenue for the past three days.,Sanitation & Waste,Sanitation & Waste::17
Fallen tree branches are blocking a path in the park on Cedar Street since Monday.,Parks & Public Spaces,Parks & Public Spaces::7
The gas meter box on 5th Avenue appears damaged last night.,Water & Utilities,Water & Utilities::13
Heavy trucks are damaging the road surface on Highfield Ave for the past three days.,Traffic & Roads,Traffic & Roads::18
